,trends__gt_higgsfield_raw,trends__gt_higgsfield_7d_ma,trends__gt_higgsfield_trend,trends__gt_ratio_runway,trends__gt_ratio_runway_7d_ma,trends__gt_ratio_runway_trend,trends__gt_ratio_kling,trends__gt_ratio_kling_7d_ma,trends__gt_ratio_kling_trend,trends__gt_ratio_ltx_studio,trends__gt_ratio_ltx_studio_7d_ma,trends__gt_ratio_ltx_studio_trend,trends__gt_ratio_pika,trends__gt_ratio_pika_7d_ma,trends__gt_ratio_pika_trend,trends__gt_ratio_magichour,trends__gt_ratio_magichour_7d_ma,trends__gt_ratio_magichour_trend,trends__gt_ratio_remaker,trends__gt_ratio_remaker_7d_ma,trends__gt_ratio_remaker_trend,trends__gt_ratio_invideo,trends__gt_ratio_invideo_7d_ma,trends__gt_ratio_invideo_trend,trends__gt_competitor_avg,trends__gt_competitor_max,trends__gt_hf_vs_comp_avg_ratio,trends__gt_hf_share_of_voice,launches__n_competitor_events_7d,launches__max_event_severity_7d,launches__cumulative_threat_score,launches__days_since_last_competitor_launch,launches__competitor_launch_decay,launches__event_model_release_7d,launches__event_pricing_change_7d,launches__event_funding_7d,launches__event_feature_release_7d,migration__social_youtube_mentions,migration__social_youtube_sentiment,migration__social_youtube_engagement,migration__social_youtube_migration_signals,migration__total_migration_signals_daily,migration__total_migration_signals_7d,migration__total_migration_signals_30d,benchmarks__benchmark_search_hits_daily,benchmarks__benchmark_title_len_mean_daily,benchmarks__benchmark_vs_in_title_share_daily,benchmarks__benchmark_search_hits_7d,oss__oss_video_github_stars_daily,oss__oss_video_github_stars_7d,oss__oss_video_hf_downloads_daily,oss__oss_video_hf_downloads_7d,oss__oss_video_hf_downloads_trend,oss__oss_threat_composite,interaction__ix_comp_hype_x_migration_7d,interaction__ix_share_of_voice_gap_x_migration,interaction__ix_comp_launch_x_oss_threat,interaction__ix_launch_severity_x_benchmark_hits_7d,interaction__ix_hf_vs_comp_ratio_x_oss,interaction__compound_threat_score,interaction__compound_threat_7d_ma,interaction__compound_threat_trend
2026-01-09,54,53.42857142857143,-0.0999999999999999,2.25,2.00798495310168,0.05,0.675,0.6256390866315249,0.0237500000000001,6.75,6.863095238095238,0.125,1.8,1.606910736144607,0.05,54.0,53.42857142857143,1.7000000000000002,0.8709677419354839,0.9661209893946512,-0.2741935483870967,1.3846153846153846,1.3349841683404604,-0.1461538461538462,33.857142857142854,79,1.5491803278688523,0.184931506849315,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.3239535747008297,0.0485930362051244,0.036847768180104,inf
2026-01-10,55,52.285714285714285,-0.1269841269841269,2.1153846153846154,1.988754183870911,-0.0598290598290598,0.7051282051282052,0.6285456004076039,0.0297110297110296,6.875,6.720238095238095,-0.1269841269841269,1.4864864864864864,1.5760227052565765,-0.1269841269841269,55.0,52.285714285714285,-0.1269841269841269,0.7857142857142857,0.9052889642769116,-0.3514739229024943,1.4473684210526316,1.3167510856336937,-0.0810359231411862,35.857142857142854,77,1.492248062015504,0.1791530944625407,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.3362307821110796,0.0504346173166619,0.0440527135110557,inf
2026-01-11,77,55.42857142857143,0.3999999999999999,2.851851851851852,2.115549346380359,0.4518518518518517,0.8461538461538461,0.6630824920873527,0.4000000000000001,9.625,7.113095238095238,0.3999999999999999,2.081081081081081,1.655066034299905,0.3621621621621622,77.0,55.42857142857143,0.3999999999999999,0.8279569892473119,0.8903966213364551,-0.1118279569892471,1.8333333333333333,1.395931595046761,0.4333333333333331,41.71428571428572,92,1.8026755852842808,0.2081081081081081,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,14557.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.2786499939188576,0.0417974990878286,0.0500237848093169,inf
2026-01-12,53,55.71428571428572,0.0392156862745098,2.0384615384615383,2.155526610495554,0.1591251885369531,0.6162790697674418,0.6588981277322495,-0.0453716370269038,5.3,6.95952380952381,-0.1686274509803922,1.4722222222222223,1.651097780331651,-0.0185185185185184,53.0,55.71428571428572,0.0392156862745098,0.5247524752475248,0.8418745778488133,-0.3929334109881576,1.358974358974359,1.407927932043098,0.0658622423328307,41.71428571428572,100,1.2408026755852843,0.1531791907514451,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.4038223219981326,0.0605733482997198,0.0511502669007682,0.1496617556619157
2026-01-13,51,55.57142857142857,-0.0192307692307692,1.9615384615384612,2.170440268266355,0.0562130177514792,0.6071428571428571,0.6621657269067508,0.0391483516483515,6.375,6.941666666666667,-0.0192307692307692,1.5454545454545454,1.6467687760026468,-0.0192307692307691,51.0,55.57142857142857,-0.0192307692307692,0.6071428571428571,0.7738473669644595,-0.4395604395604395,1.3076923076923077,1.3883919125070785,-0.0946745562130176,38.285714285714285,83,1.2981818181818183,0.159375,1,0.8,0.8,0.0,0.8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.3861099686573725,0.1589369034618711,0.0666778009640967,2.1632907702441586
2026-01-14,51,56.0,0.0625,2.125,2.175875050875051,0.0182291666666667,0.5795454545454546,0.6623417556972375,0.0021306818181818,5.666666666666667,6.608333333333333,-0.2916666666666666,1.4166666666666667,1.627951571701572,-0.0850694444444444,51.0,56.0,0.0625,0.6,0.7301815987703895,-0.3375,1.3421052631578947,1.4168559296929002,0.1743421052631579,39.142857142857146,87,1.270462633451957,0.156441717791411,1,0.8,0.8,1.0,0.7238699344287677,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.3944683957349372,0.1601906675235059,0.0819176180053019,1.993549530654584
2026-01-15,49,55.71428571428572,-0.0392156862745097,1.96,2.186033781033781,0.0376470588235293,0.5903614457831325,0.6599444112172768,-0.027639971651311,6.125,6.673809523809524,0.0808823529411764,1.4411764705882353,1.6061553532141768,-0.0957324106113033,49.0,55.71428571428572,-0.0392156862745097,0.6282051282051282,0.6921056396417988,-0.2978883861236803,1.225,1.4141555812608444,-0.0151960784313724,37.42857142857143,82,1.275092936802974,0.157051282051282,1,0.8,0.8,2.0,0.6549846024623855,1,0,0,0,1.0,0.0,119196.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.3930470912655611,0.1599774718530994,0.097214791963973,2.024305787639457
2026-01-16,44,54.285714285714285,-0.1851851851851852,2.0,2.1503194953194957,-0.1111111111111111,0.5432098765432098,0.6411172507234496,-0.1952446273433928,6.285714285714286,6.607482993197279,-0.0687830687830688,1.375,1.5454410674998909,-0.2361111111111111,44.0,54.285714285714285,-0.1851851851851852,0.5569620253164557,0.6472476801247947,-0.3605250820440694,1.2222222222222223,1.3909565580618213,-0.1172839506172838,35.857142857142854,80,1.1937984496124032,0.1486486486486486,1,0.8,0.8,3.0,0.5926545765453743,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.4195902071305693,0.1639589392328507,0.1136956352536482,2.374124196330012
2026-01-17,46,53.0,-0.1636363636363637,2.090909090909091,2.1468229918229915,-0.0115702479338843,0.6666666666666666,0.635622745228944,-0.0545454545454546,5.75,6.446768707482994,-0.1636363636363637,1.4838709677419355,1.5450674219649552,-0.0017595307917888,46.0,53.0,-0.1636363636363637,0.575,0.6171456393084682,-0.2681818181818182,1.2777777777777777,1.3667293233082705,-0.1171717171717172,34.285714285714285,79,1.3036437246963564,0.1602787456445993,1,0.8,0.8,4.0,0.5362560368285115,1,0,0,0,2.0,0.0,319919.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.3845045892736851,0.158696096554318,0.1291615608590277,2.146570847517665
2026-01-18,42,48.0,-0.4545454545454546,1.75,1.9894155844155843,-0.3863636363636363,0.56,0.5947436243498233,-0.3381818181818181,5.25,5.821768707482994,-0.4545454545454546,1.2352941176470589,1.424240712902952,-0.4064171122994652,10.5,43.5,-0.8636363636363636,0.5316455696202531,0.5748154365046027,-0.3578826237054086,1.105263157894737,1.262719298245614,-0.3971291866028708,36.42857142857143,78,1.1221374045801529,0.1409395973154362,2,0.8,1.3,0.0,0.5,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,1.010204081632653,0.0,0.4461490617418837,0.2689631755878131,0.1616138003590254,5.434910735272551
2026-01-19,43,46.57142857142857,-0.1886792452830188,1.8695652173913044,1.965287538548408,-0.0828547990155864,0.5972222222222222,0.592021217557649,-0.0309224318658281,6.142857142857143,5.942176870748299,0.1590296495956875,1.303030303030303,1.400070438732678,-0.1149228130360207,43.0,42.07142857142857,-0.1886792452830188,0.5657894736842105,0.5806778648527006,0.0782025819265144,1.162162162162162,1.234603270129586,-0.1448240693523713,34.57142857142857,75,1.208835341365462,0.1503496503496503,2,0.8,1.3,1.0,0.4524187090179797,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,1.010204081632653,0.0,0.4144136813841157,0.2642028685341479,0.1907037318210866,3.3617015725605794
2026-01-20,45,45.71428571428572,-0.1176470588235294,1.875,1.9529249011857708,-0.0441176470588234,0.5625,0.5856436665372409,-0.0735294117647058,5.625,5.835034013605442,-0.1176470588235294,1.2857142857142858,1.3629646873412125,-0.1680672268907562,45.0,41.21428571428572,-0.1176470588235294,0.5921052631578947,0.5785296371405632,-0.024767801857585,1.1842105263157894,1.2169630156472262,-0.0944272445820434,36.42857142857143,79,1.2022900763358777,0.1495016611295681,2,0.8,1.3,2.0,0.4093653765389909,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,1.010204081632653,0.0,0.4166511387629165,0.264538487140968,0.2057896723466719,0.6644245696181605
2026-01-21,46,45.0,-0.0980392156862745,1.7037037037037035,1.8927397160005857,-0.1982570806100217,0.5348837209302325,0.5792634188779234,-0.0770633834929321,6.571428571428571,5.964285714285714,0.1596638655462183,1.3142857142857145,1.348338837001076,-0.0722689075630252,46.0,40.5,-0.0980392156862745,0.6301369863013698,0.5828349208979018,0.0502283105022831,1.2105263157894737,1.1981660231660232,-0.0980392156862745,37.142857142857146,85,1.2059925093632955,0.1498371335504886,1,0.5,1.3,3.0,0.3704091103408589,0,0,0,1,1.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.4153825265591498,0.1633277871471377,0.206237832292905,0.0195836603475765
2026-01-22,49,45.0,0.0,1.8846153846153848,1.8819704852313548,-0.0384615384615384,0.620253164556962,0.5835336644170418,0.0506329113924048,6.125,5.964285714285714,0.0,1.2894736842105263,1.326667010375689,-0.1052631578947368,16.333333333333332,35.833333333333336,-0.6666666666666667,0.7205882352941176,0.5960325076249002,0.1470588235294117,1.3611111111111112,1.2176104676104678,0.1111111111111111,35.857142857142854,78,1.3294573643410854,0.1627906976744186,1,0.5,1.3,4.0,0.3351600230178196,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.3770945266815562,0.1575845871654987,0.2058959916232477,-0.0149576353462943
2026-01-23,57,46.85714285714285,0.2954545454545454,2.0357142857142856,1.8870725260476813,0.0178571428571427,0.6705882352941176,0.6017305728100287,0.2344919786096255,5.7,5.88061224489796,-0.0931818181818181,1.6285714285714286,1.362891500171607,0.1844155844155843,57.0,37.69047619047619,0.2954545454545454,0.8769230769230769,0.6417412292829889,0.5744755244755246,1.6285714285714286,1.2756603542317826,0.3324675324675323,36.0,84,1.5405405405405406,0.1838709677419354,1,0.5,1.3,5.0,0.3032653298563167,0,0,0,1,1.0,0.0,897.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.3257586806728966,0.1498842102641998,0.2038853160562976,-0.0858430106617261
2026-01-24,57,48.42857142857143,0.2391304347826086,2.28,1.9140855130606684,0.0904347826086955,0.6551724137931034,0.6000885366852339,-0.0172413793103448,8.142857142857142,6.222448979591837,0.4161490683229814,1.5833333333333333,1.3771004095418071,0.0670289855072463,57.0,39.26190476190476,0.2391304347826086,0.8769230769230769,0.6848730974148571,0.5250836120401339,1.5405405405405406,1.3131978917693203,0.2056404230317274,35.857142857142854,86,1.5465116279069768,0.1844660194174757,1,0.5,1.3,6.0,0.2744058180470132,0,0,0,1,1.0,0.0,19233.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.324509005753803,0.1496967590263357,0.202599696409443,-0.0567079954918868
2026-01-25,61,51.142857142857146,0.4523809523809523,2.033333333333333,1.954561703536859,0.1619047619047617,0.7922077922077922,0.6332610784292043,0.4146567717996288,7.625,6.561734693877551,0.4523809523809523,1.564102564102564,1.4240730447497365,0.2661782661782661,20.33333333333333,40.66666666666667,0.9365079365079364,0.8472222222222222,0.7299554763579955,0.5935846560846563,1.564102564102564,1.3787463783704383,0.415140415140415,37.285714285714285,76,1.5932835820895523,0.1888544891640866,1,0.5,1.3,7.0,0.2482926518957047,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.5051020408163265,0.0,0.3150422336128641,0.1482767432051949,0.1853587774976404,-0.4487098730852678
2026-01-26,60,53.57142857142857,0.3953488372093023,1.875,1.955338101052387,0.002906976744186,0.759493670886076,0.6564427139526119,0.2717103326464529,7.5,6.755612244897959,0.2209302325581394,1.5,1.4522115728882647,0.1511627906976744,60.0,43.09523809523809,0.3953488372093023,0.8108108108108109,0.7649585245189384,0.433060967944689,1.6216216216216215,1.4443834440075043,0.3953488372093026,37.71428571428572,78,1.5498154981549814,0.1846153846153846,0,0.0,1.3,8.0,0.2246644820586107,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.3238216580190307,0.0485732487028546,0.1545545460931699,-0.8161516982296634
2026-01-27,76,58.0,0.6888888888888889,2.533333333333333,2.049385720100006,0.3511111111111111,0.8941176470588236,0.7038166635324439,0.5895424836601308,9.5,7.309183673469387,0.6888888888888889,2.0,1.5542523892147952,0.5555555555555554,76.0,47.52380952380952,0.6888888888888889,1.3818181818181818,0.8777746557561222,1.333737373737374,1.9,1.5466390831052483,0.6044444444444446,35.714285714285715,84,2.0700389105058363,0.2324159021406728,0,0.0,1.3,9.0,0.2032848298702995,0,0,0,0,1.0,0.0,28943.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.2428329769530574,0.0364249465429586,0.1219668974363114,-0.8623075721925166
2026-01-28,65,60.71428571428572,0.4130434782608696,2.096774193548387,2.105538647220675,0.2307152875175315,0.8227848101265823,0.7449453905604938,0.5382498624105672,9.285714285714286,7.696938775510204,0.4130434782608698,1.7105263157894737,1.610858189429618,0.3014874141876429,65.0,50.238095238095234,0.4130434782608696,1.1607142857142858,0.9535714128151104,0.8420031055900623,1.5853658536585369,1.6001875885151144,0.3096500530222694,35.142857142857146,78,1.7984189723320156,0.2083333333333333,0,0.0,1.3,10.0,0.1839397205857211,0,0,0,0,2.0,0.0,259097.0,0.0,0.0,0.0,0.0,0,0,0,0,382,2674.0,18874,132118.0,0.0,0.5051020408163265,0.0,0.0,0.0,0.0,0.2793058735526208,0.0418958810328931,0.1046194822771336,-0.7434858956660558
